"","Trap.no","Site","Abraxas grossulariata","Acronicta menyanthidis","Acronicta rumicis","Aethes cnicana","Agriphila geniculea","Agriphila straminella","Agriphila tristella","Agrotis exclamationis","Agrotis ipsilon","Agrotis puta","Alcis repandata","Amphipoea sp.","Anaplectoides prasina","Antitype chi","Apamea crenata","Apamea epomidion","Apamea furva","Apamea monoglypha","Apamea remissa","Apamea scolopacina","Aplocera plagiata","Aporophyla nigra","Archiearis parthenias","Arctia caja","Aspitates gilvaria","Aspitates ochrearia","Atolmis rubricollis","Autographa gamma","Autographa jota","Autographa pulchrina","Biston betularia","Brachylomia viminalis","Cabera exanthemata","Cabera pusaria","Calamotropha sp.","Calliteara pudibunda","Campaea margaritata","Catocala nupta","Celaena haworthii","Ceramica pisi","Cerapteryx graminis","Cerastis rubricosa","Cerura vinula","Charanyca trigrammica","Charissa obscurata","Chloroclysta siterata","Clostera curtula","Coenobia rufa","Coenotephria salicata","Coleophora sp.","Colocasia coryli","Colostygia multistrigaria","Colostygia pectinataria","Conistra vaccinii","Cosmorhoe ocellata","Crambus pascuella","Crambus sp.","Craniophora ligustri","Crocallis elinguaria","Deilephila elpenor","Deltote pygarga","Denticucullus pygmina","Diachrysia chrysitis","Diarsia brunnea","Diarsia mendica","Dicallomera fascelina","Dysstroma citrata","Dysstroma truncata","Dysstroma truncata.","Ecliptopera silaceata","Eilema caniola","Eilema depressa","Eilema lurideola","Electrophaes corylata","Ennomos quercinaria","Entephria caesiata","Epinotia ramella","Epione repandaria","Epirrhoe alternata","Epirrhoe galiata","Eudonia pallida","Eudonia sp.","Eudonia trunconola","Eugnorisma glareosa","Eulithis populata","Eulithis prunata","Eulithis testata","Euphyia unangulata","Eupithecia icterata","Eupithecia nanata","Eupithecia pulchellata","Eupithecia subfuscata","Eupithecia tripunctaria","Eupithecia vulgata","Euplexia lucipara","Euthrix potatoria","Fagivorina arenaria","Falcaria lacertinaria","Furcula furcula","Gandaritis pyraliata","Geometra papilionaria","Habrosyne pyritoides","Heliothis peltigera","Herminia grisealis","Herminia tarsipennalis","Hoplodrina sp.","Horisme tersata","Hydrelia flammeolaria","Hydriomena furcata","Hydriomena impluviata","Hypena proboscidalis","Idaea emarginata","Idaea subsericeata","Korscheltellus fusconebulosa","Korscheltellus lupulina","Lacanobia oleracea","Lacanobia suasa","Lacanobia thalassina","Laothoe populi","Lasiocampa quercus","Lomaspilis marginata","Luperina testacea","Lycia hirtaria","Lycophotia porphyrea","Lymantria monacha","Macaria alternata","Macaria liturata","Macrothylacia rubi","Martania taeniata","Mesapamea sp,","Mesapamea sp.","Mesoleuca albicillata","Mesoligia furuncula","Mesotype didymata","Mythimna ferrago","Mythimna impura","Mythimna pallens","Mythimna pudorina","Mythimna turca","Noctua comes","Noctua interjecta","Noctua janthe","Noctua pronuba","Notocelia uddmanniana","Notodonta dromedarius","Notodonta ziczac","Ochropleura plecta","Odontopera bidentata","Oligia fasciuncula","Oligia latruncula","Oligia strigilis","Oligia versicolor","Orthosia gothica","Orthosia gracilis","Orthosia incerta","Orthotaenia undulana","Papestra biren","Pasiphila rectangulata","Peribatodes rhomboidaria","Perizoma albulata","Petrophora chlorosata","Phalera bucephala","Pheosia gnoma","Phlogophora meticulosa","Photedes minima","Phragmatobia fuliginosa","Plagodis pulveraria","Pleuroptya ruralis","Plusia festucae","Polia nebulosa","Pseudoips prasinana","Pterostoma palpina","Ptilodon capucina","Pug sp.","Pyla fusca","Pyrausta purpuralis","Rhodometra sacraria","Rivula sericealis","Rusina ferruginea","Schrankia costaestrigalis","Scoliopteryx libatrix","Scoparia ambigualis","Scoparia sp.","Scopula floslactata","Scotopteryx chenopodiata","Selenia dentaria","Spilosoma lubricipeda","Spilosoma lutea","Standfussiana lucernea","Stauropus fagi","Stilbia anomala","Subacronicta megacephala","Thera britannica","Thera obeliscata","Tholera cespitis","Thumatha senex","Thyatira batis","Timandra comae","Triodia sylvina","Udea prunalis","Venusia cambrica","Xanthia togata","Xanthorhoe decoloraria","Xanthorhoe designata","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia agathina","Xestia baja","Xestia c-nigrum","Xestia castanea","Xestia sexstrigata","Xestia triangulum","Xestia xanthographa","Xylena solidaginis","Yponomeuta sp."
"1",1,"Afan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"Afan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"Bryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,"Bryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,4,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5",5,"Brechfa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"Brechfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"PyC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,"PyC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"Bryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"Bryn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
