sample,Site,Year,Acronicta tridens,Agrotis segetum ,Agrotis sp.,Apis mellifera mellifera,Araneus diadematus,Arhopalus sp.,Axylia putris,Baetis rhodani,Campaea margaritaria,Culicoides impunctatus,Diachrysia chrysitis ,Dysstroma citrata ,Epirrhoe alternata,Epirrita dilutata,Eupithecia virgaureata ,Falcaria lacertinaria ,Gymnoscelis rufifasciata,Harmonia axyridis ,Hepialus humuli,Hydriomena furcata,Idaea aversata,Idaea straminata,Lampropteryx otregiata,Noctua sp.,Scathophaga stercoraria,Sciodrepoides watsoni,Spilarctia luteum ,Succinea putris,Xestia c-nigrum,Abraxas grossulariata,Acronicta menyanthidis,Acronicta rumicis,Aethes cnicana,Agriphila geniculea,Agriphila straminella,Agriphila tristella,Agrochola lychnidis,Agrochola macilenta,Agrotis exclamationis,Agrotis ipsilon,Agrotis puta,Alcis repandata,Allolobophora chlorotica ,Amphinemura sulcicollis,Amphipoea sp.,Anaplectoides prasina,Anaplectoides prasina ,Antitype chi,Apamea crenata,Apamea epomidion,Apamea furva,Apamea monoglypha,Apamea remissa,Apamea scolopacina,Aphthona sp.,Aplocera plagiata,Aporophyla nigra,Archiearis parthenias,Arctia caja,Arctia caja ,Arion subfuscus,Aspitates gilvaria,Aspitates ochrearia,Asteroscopus sphinx,Atolmis rubricollis,Autographa gamma,Autographa jota,Autographa pulchrina,Biston betularia,Brachylomia viminalis,Cabera exanthemata,Cabera pusaria,Calamia tridens,Calamotropha sp.,Calliteara pudibunda,Campaea margaritata,Camptogramma bilineatum,Camptogramma sp.,Catocala nupta,Celaena haworthii,Celypha striana,Cepaea hortensis,Ceramica pisi,Cerapteryx graminis,Cerastis rubricosa,Cerura vinula,Charanyca trigrammica,Charissa obscurata,Chironomus pallidivittatus,Chironomus sp.,Chloroclysta siterata,Cinara pilicornis,Clostera curtula,Coenobia rufa,Coenotephria salicata,Coleophora sp.,Colocasia coryli,Colostygia multistrigaria,Colostygia pectinataria,Conistra vaccinii,Cosmorhoe ocellata,Crambus pascuella,Crambus sp.,Craniophora ligustri,Crocallis elinguaria,Deilephila elpenor,Deltote pygarga,Denticucullus pygmina,Depressaria daucella,Deroceras reticulatum,Diachrysia chrysitis,Diarsia brunnea,Diarsia mendica,Dicallomera fascelina,Diptera sp.,Drepana falcataria,Dryomyza anilis,Dysstroma citrata,Dysstroma truncata,Dysstroma truncata.,Ecliptopera silaceata,Ectopsocus californicus,Eilema caniola,Eilema depressa,Eilema depressum,Eilema lurideola,Eilema sororculum,Electrogena lateralis,Electrophaes corylata,Ennomos quercinaria,Entephria caesiata,Epinotia ramella,Epione repandaria,Epirrhoe galiata,Eudonia pallida,Eudonia sp.,Eudonia trunconola,Eugnorisma glareosa,Eulithis populata,Eulithis prunata,Eulithis testata,Euphyia unangulata,Eupithecia icterata,Eupithecia nanata,Eupithecia pulchellata,Eupithecia sp.,Eupithecia subfuscata,Eupithecia tripunctaria,Eupithecia virgaureata,Eupithecia vulgata,Euplexia lucipara,Euthrix potatoria,Exochomus quadripustulatus,Fagivorina arenaria,Falcaria lacertinaria,Furcula furcula,Gandaritis pyraliata,Geometra papilionaria,Griposia aprilina,Griposia aprilinaUK,Habrosyne pyritoides,Harmonia axyridis,Heliothis peltigera,Herminia grisealis,Herminia tarsipennalis,Hoplodrina octogenaria,Hoplodrina sp.,Horisme tersata,Hydraecia micacea,Hydrelia flammeolaria,Hydriomena impluviata,Hydropsyche instabilis,Hypena proboscidalis,Idaea emarginata,Idaea subsericeata,Korscheltellus fusconebulosa,Korscheltellus lupulina,Korscheltellus lupulinus,Korscheltellus sp.,Lacanobia oleracea,Lacanobia suasa,Lacanobia thalassina,Laothoe populi,Lasiocampa quercus,Lasiocampa quercus ,Lasiomma seminitidum,Lasiomma sp.,Lepidocyrtus sp.,Leptus sp.,Leucania sp.,Lochmaea capreae,Lomaspilis marginata,Lumbricus festivus,Lumbricus rubellus,Lumbricus sp.,Lumbricus terrestris,Luperina testacea,Lycia hirtaria,Lycophotia porphyrea,Lymantria monacha,Macaria alternata,Macaria liturata,Macrothylacia rubi,Macrothylacia rubi ,Malacosoma sp.,Martania taeniata,Melanchra persicariae,Meoneura sp,Mesapamea secalis ,"Mesapamea sp,",Mesapamea sp.,Mesoleuca albicillata,Mesoligia furuncula,Mesotype didymata,Moma alpium,Monacha cantiana,Mythimna albipuncta,Mythimna ferrago,Mythimna impura,Mythimna pallens,Mythimna pudorina,Mythimna straminea,Mythimna turca,Myzus persicae,Noctua comes,Noctua interjecta,Noctua janthe,Noctua pronuba,Noctuidae,Notocelia uddmanniana,Notodonta dromedarius,Notodonta ziczac,Ochropleura plecta,Odontopera bidentata,Oligia fasciuncula,Oligia latruncula,Oligia strigilis,Oligia versicolor,Orchesella cincta,Orthosia gothica,Orthosia gracilis,Orthosia incerta,Orthotaenia undulana,Ourapteryx sambucaria,Pandemis cerasana,Papestra biren,Pasiphila rectangulata,Patania ruralis ,Peribatodes rhomboidaria,Perizoma albulata,Petrophora chlorosata,Phalera bucephala,Pheosia gnoma,Phlogophora meticulosa,Photedes minima,Photedes sp.,Phragmatobia fuliginosa,Phratora vitellinae,Phymatopus hecta,Phytoseiidae sp.,Pieris sp.,Plagodis pulveraria,Pleuroptya ruralis,Plusia festucae,Plusia sp.,Polia nebulosa,Protodeltote pygarga ,Pseudoips prasinana,Psychoda erminea ,Psychoda nr. albipennis,Psychoda phalaenoides,Psychoda sp.,Pterostichus nigrita,Pterostoma palpina,Ptilodon capucina,Ptilodon capucinus,Pug sp.,Pyla fusca,Pyrausta purpuralis,Rhodometra sacraria,Rivula sericealis,Rusina ferruginea,Scheloribates sp,Schoettella ununguiculata,Schrankia costaestrigalis,Sciodrepoides watsoni ,Scoliopteryx libatrix,Scoparia ambigualis,Scoparia sp.,Scopula floslactata,Scotopteryx chenopodiata,Selenia dentaria,Selenia tetralunaria,Siphona setosa,Sitobion sp.,Smerinthus ocellata,Spilosoma lubricipeda,Spilosoma lubricipedum,Spilosoma lutea,Spondylis buprestoides,Standfussiana lucernea,Stauropus fagi,Stigmatogaster subterranea,Stilbia anomala,Subacronicta megacephala,Succinea sp.,Suillia sp.,Syndemis musculana,Syrphus ribesii,Takobia muticus,Tanytarsus heusdensis,Tanytarsus sp.,Thalpophila matura,Thera britannica,Thera firmata,Thera obeliscata,Tholera cespitis,Thumatha senex,Thyatira batis,Timandra comae,Tinea pellionella,Tipula oleracea,Tipula sp.,Tomocerus sp.,Trachea atriplicis,Triodia sylvina,Triodia sylvina ,Trombidiformes sp.,Typhlodromips swirskii,Udea prunalis,Venusia cambrica,Xanthia togata,Xanthorhoe decoloraria,Xanthorhoe designata,Xanthorhoe montanata,Xanthorhoe spadicearia,Xestia agathina,Xestia baja,Xestia castanea,Xestia ditrapezium ,Xestia sexstrigata,Xestia triangulum,Xestia xanthographa,Xylena solidaginis,Yponomeuta sp.
NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT1,Clocaenog,?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT10,Clocaenog,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT11,Brechfa,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT12,Brechfa,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT15,Brechfa,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT17,Brechfa,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT2,Clocaenog,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT22,Clocaenog,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIGHT23,Clocaenog,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
