No.,Lab ID,Nightjar Samples KF original,Nightjar Samples Renamed/updated,NGR,Site,Type,Year,long_seq,short_seq,Tracking data
1,NIGHT1,LLYFARDDU NIGHTJAR NEST,LLYFARDDU NIGHTJAR NEST,SJ0201853920,Clocaenog,Nest,?,yes,yes,
38,NIGHT47,CEFN HAFOD LOM DAY ROOST,CEFN HAFOD LOM DAY ROOST,,Clocaenog,Roost,?,yes,yes,
59,NIGHT46,1 UNLABELLED FAECAL SAMPLE,,,,,?,,yes,
28,NIGHT28,CLOC LLYFARDDU ? 6/7/17,CLOC LLYFARDDU ? 6/7/17,SJ0201853920,Clocaenog,Roost,2017,yes,yes,
30,NIGHT50,? t20 19/7/2017 BRECHFA,? t20 19/7/2017 BRECHFA,SN4885733283,Brechfa,Roost,2017,yes,yes,
31,NIGHT40,BRYN NEST 15/07/2017,BRYN QUARRY NEST 16/07/2017,SS 81427 91352,Bryn,Nest,2017,,yes,yes
32,NIGHT37,BRYN SLOPE NEST 24/07/2017,BRYN SLOPE NEST 24/07/2017,SS 82088 90254,Bryn,Nest,2017,yes,yes,yes
34,NIGHT33,CLOC LLYFARDDU NEST 6/7/17,CLOC LLYFARDDU NEST 6/7/17,SJ0201853920,Clocaenog,Nest,2017,yes,yes,
35,NIGHT41,BRYN 09/08/17 QUARRY NEST,BRYN 09/08/17 QUARRY NEST,SS8142791352,Bryn,Nest,2017,yes,yes,no
37,NIGHT49,LJ75939 ? 13/07/17 PYC,LJ75939 ? 13/07/17 PYC,,PyC,Roost,2017,,yes,
39,NIGHT53,PYC J01 NEST 15073 ? 25/07/17,PYC J01 NEST 15073 ? 25/07/17,SN9305002771,PyC,Nest,2017,,yes,
40,NIGHT29,AFAN ? ROOST 81702 94570 12/06/17,AFAN ? ROOST 81702 94570 12/06/17,SS8170294570,Afan,Roost,2017,yes,yes,
42,NIGHT60,LJ75943 05:30 19/7/17,LJ75943 05:30 19/7/17 6 male A02,SN8847402779,PyC,Roost,2017,yes,yes,
43,NIGHT65,LH76872 DAY ROOST 14/7/17,LH76872 DAY ROOST 14/7/17  6 male C05,SS83589782,PyC,Roost,2017,yes,yes,
44,NIGHT52,BRYN QUARRY NEST 22/07/17,BRYN QUARRY NEST 22/07/17,SS8142791352,Bryn,Nest,2017,,yes,no
45,NIGHT66,2X CHICKS @SJ01635448 NO.1 14:30 23/07/17,2X CHICKS @SJ01635448 NO.1 14:30 23/07/17,SJ01635448,Clocaenog,Nest,2017,,yes,
46,NIGHT61,COMB. CHICKS CEFN HAFOD LOM 12/7/17,COMB. CHICKS CEFN HAFOD LOM 12/7/17,SH9873955254,Clocaenog,Nest,2017,,yes,
47,NIGHT58,PYC 29/6/17 KO2/T71,PYC 29/6/17 KO2/T71,SN9344302201,PyC,Nest,2017,,yes,yes
48,NIGHT32,BRECHFA T4 23/05/17 ? + CHICK - is this actually T14 on 24/06?,BRECHFA T2 24/06/17 ? + CHICK,SN4737531358,Brechfa,Nest,2017,,yes,?
49,NIGHT30,PYC 13/07/17 LJ75943 ?,PYC 13/07/17 LJ75943 ?,,PyC,Roost,2017,yes,yes,
50,NIGHT45,BOI (LH76726) 2 CHICKS FS 13/7/17,B01 (LH76726) 2 CHICKS FS 13/7/17,,PyC,Nest,2017,yes,yes,
51,NIGHT38,T6 NEST PYC 06/7/17,T6 NEST PYC 06/7/17,SS8292098527,PyC,Nest,2017,yes,yes,
52,NIGHT48,SJ00415210 2 CHICKS @ NEST 23:40 16/7/17,SJ00415210 2 CHICKS @ NEST 23:40 16/7/17,SJ00415210,Clocaenog,Nest,2017,yes,yes,
53,NIGHT67,2X CHICKS @SJ01635448 NO.2 14:30 23/07/17,2X CHICKS @SJ01635448 NO.2 14:30 23/07/17,SJ01635448,Clocaenog,Nest,2017,yes,yes,
54,NIGHT62,CENTRAL CLEARING 2 CHICKS CA. 2 DAYS 21:50 17/7/17,OFF CENTRAL CLEARING 2 CHICKS CA. 2 DAYS 21:50 17/7/17,SJ0241052179,Clocaenog,Nest,2017,,yes,
55,NIGHT35,AFAN ? 173.215 20/07/17,AFAN ? 173.215 20/07/17,SS8176694424,Afan,Roost,2017,yes,yes,
57,NIGHT64,OFF CENTRAL CLEARING 2X CHICK GUANO T2:30 23/07/17,OFF CENTRAL CLEARING 2X CHICK GUANO T2:30 23/07/17,SJ0241052179,Clocaenog,Nest,2017,,yes,
58,NIGHT51,BRYN SLOPE NEST 02/08/17,BRYN SLOPE NEST 02/08/17,SS8208890254,Bryn,Nest,2017,,,yes
60,NIGHT57,13082017 OHL NEST + ROOST,OHL nest and roost 2017,SN4786331577,Brechfa,Nest,2017,yes,yes,
61,NIGHT56,NEST BRECHFA 10/07/17 T11,T11 nest 2017,SN4845031553,Brechfa,Nest,2017,,yes,
62,NIGHT54,BRECHFA T2 24/6/17,T2 nest 2017,SN4737531358,Brechfa,Nest,2017,yes,yes,
63,NIGHT43,,Adult roost T23 2017,SN4885534363,Brechfa,Roost,2017,yes,yes,
64,NIGHT42,,T16 nest - chicks 2017,SN4916431930,Brechfa,Nest,2017,yes,yes,
65,NIGHT55,BRECHFA T11 ? ROOST 4/7/17,T11 Unknown roost 2017,SN4846531470,Brechfa,Roost,2017,yes,yes,
66,NIGHT44,,T23 Nest 2017 13/08/2017,SN4885534363,Brechfa,Nest,2017,yes,yes,
67,NIGHT63,CLOCACNOG CARNEDD CI 17/08/2017,CLOCACNOG CARNEDD CI 17/08/2017,SJ01005444,Clocaenog,nest,2017,yes,yes,yes
9,NIGHT9,CEFN HAFOD LOM UPPER 5/7/16,CEFN HAFOD LOM UPPER 5/7/16,SH9840355176,Clocaenog,Nest,2016,,yes,
10,NIGHT10,CARNEDD C1 FIRST BROOD 06/07/16,CARNEDD C1 FIRST BROOD 06/07/16,SJ0081154328,Clocaenog,Nest,2016,yes,yes,
11,NIGHT11,MASIJ BRECHFA SN4849331145 12/07/2016,MAST T12 BRECHFA SN4849331145 12/07/2016,SN4849331145,Brechfa,Nest,2016,yes,yes,
12,NIGHT12,SN5022832495 TAGGOL87725 27/07/16,SN5022832495 TAGGO LB7725 27/07/16,SN5022832495,Brechfa,Nest,2016,yes,yes,
13,NIGHT13,SN4986532821 NEST 27/07/16,SN4986532821 NEST 27/07/16,SN4986532821,Brechfa,Nest,2016,,yes,
14,NIGHT14,NR MAST ? 24/7/16,NR MAST ? 24/7/16,SJ0109651963,Clocaenog,Roost,2016,,yes,
15,NIGHT15,BRECHFA ? 790 25/7/16,BRECHFA ? 790 25/7/16,SN4902634566,Brechfa,Roost,2016,yes,yes,
16,NIGHT16,BRECHFA TOP SN 49101 34801 12/07/2016,BRECHFA TOP SN 49101 34801 12/07/2016,SN4910134801,Brechfa,Nest,2016,,yes,
17,NIGHT17,SN5007232608 NIGHTJAR BRECHFA 11/07/2016,SN5007232608 NIGHTJAR BRECHFA 11/07/2016,SN5007232608,Brechfa,Nest,2016,yes,yes,
18,NIGHT18,SN4905933247 BRECHFA 06/7/16,SN4905933247 BRECHFA 06/7/16,SN4905933247,Brechfa,Nest,2016,,yes,
19,NIGHT19,1 CARNEDD C1 CLOCAENOG 2ND BROOD 2016,1 CARNEDD C1 CLOCAENOG 2ND BROOD 2016,SJ0100454449,Clocaenog,Nest,2016,,yes,
20,NIGHT20,2 LLYFARDU NEST AND DAY ROOSTS CLOCAENGO 2016,2 LLYFARDU NEST AND DAY ROOSTS CLOCAENOG 2016,SJ0201853920,Clocaenog,Nest,2016,,yes,
21,NIGHT21,3 CORS FOCHNO 2ND BROOD 2016,3 CORS FOCHNO 2ND BROOD 2016,SN62929139,Borth,Nest,2016,,yes,
22,NIGHT22,4 CEFN HAFOD LOM LOWER 1ST BROOD (CLOCAENOG) 18/07/2016,4 CEFN HAFOD LOM LOWER 1ST BROOD (CLOCAENOG) 18/07/2016,SH9861255523,Clocaenog,Nest,2016,yes,yes,
23,NIGHT23,5 CEFN HAFOD LOM (LOWER) CLOCAENOG 25/07/2016,5 CEFN HAFOD LOM (LOWER) CLOCAENOG 25/07/2016,SH9861255523,Clocaenog,Nest,2016,yes,yes,
24,NIGHT24,6 CEFN HAFOD LOM (UPPER) CLOCAENOG 1ST BROOD 18/07/2016,6 CEFN HAFOD LOM (UPPER) CLOCAENOG 1ST BROOD 18/07/2016,SH9840355176,Clocaenog,Nest,2016,yes,yes,
25,NIGHT25,7 LH76886 6? 173.9495 COLLECTED FROM DAY ROOST @T16 22/07/2016,7 LH76886 6? 173.9495 COLLECTED FROM DAY ROOST @T16 22/07/2016,,PyC,Roost,2016,,yes,
26,NIGHT26,8 LH76718 DAY ROOST 24/07/2016,8 LH76718 DAY ROOST 24/07/2016,SJ0505052627,Clocaenog,Roost,2016,,yes,
29,NIGHT36,T6 CHICK DUNG 19/07/2016,T6 CHICK DUNG 19/07/2016,SS8256698502,PyC,Nest,2016,,yes,
33,NIGHT31,PYC T71 NEST 2017 25/07/2016,PYC T71 NEST 2017 25/07/2016,SN 93443 02201,PyC,Nest,2016,yes,yes,
36,NIGHT59,NIGHTJAR MALE FLUSHED FROM T9 TUES 28TH JUNE 2016 SS83865 99460,NIGHTJAR MALE FLUSHED FROM T9 TUES 28TH JUNE 2016 SS83865 99460,SS8386599460,PyC,Roost,2016,yes,yes,
56,NIGHT39,NIGHTJAR PYC 21/06/2016 T9 SS83851 99469 21/06/16,NIGHTJAR PYC 21/06/2016 T9 SS83851 99469 21/06/16,SS8385199469,PyC,,2016,,yes,
2,NIGHT2,? ROOST SITE LOWER OSPREY PLATFORM CLOCAENOG 18/7/15,? ROOST SITE LOWER OSPREY PLATFORM CLOCAENOG 18/7/15,SH9858255520,Clocaenog,Roost,2015,yes,yes,
3,NIGHT3,FROM ROOST OF 303 CLOCAENOG 18/7/15,FROM ROOST OF 303 CLOCAENOG 18/7/15,,Clocaenog,Roost,2015,,,
4,NIGHT4,LH76718+19 SJ0140953303 18/7/15,LH76718+19 SJ0140953303 18/7/15,SJ0140953303,Clocaenog,Nest?,2015,yes,yes,
5,NIGHT5,RECTANGLE COUPE CLOCAENOG 22/7/15,RECTANGLE COUPE CLOCAENOG 22/7/15,SJ0210053966,Clocaenog,Nest,2015,,yes,
6,NIGHT6,LOWER OSPREY PLATFORM CLOCAENOG 1ST BROOD 25/07/15,LOWER OSPREY PLATFORM CLOCAENOG 1ST BROOD 25/07/15,SH9864755483,Clocaenog,Nest,2015,yes,yes,
7,NIGHT7,CEFN HAFOD LOM UPPER OSPREY SH9834455095 24/07/15,CEFN HAFOD LOM UPPER OSPREY SH9834455095 24/07/15,SH9834455095,Clocaenog,Nest ,2015,yes,yes,
8,NIGHT8,? MAIN VALLEY CLOCAENOG 22/07/15,? MAIN VALLEY CLOCAENOG 22/07/15,SJ0134553219,Clocaenog,Nest,2015,,yes,
41,NIGHT34,LH76623 SJ00545395 DAY ROOST,LH76623 SJ00545395 DAY ROOST,SJ00545395,Clocaenog,Roost,2015,,yes,yes
27,NIGHT27,PYC T75 NIGHTJAR 15/08/2014,PYC T75 NIGHTJAR 15/08/2014,SN9306502073,PyC,Nest,2014,yes,yes,
,,,,,,,,,,
No.,,Feathers?,Feathers?,,,,,,,
1,,15073 25/7/17 PYC,15073 25/7/17 PYC,,,,,,,
2,,LH76535 LOW VALLEY BOTTOM END 30/0/17,LH76535 LOW VALLEY BOTTOM END 30/0/17,,,,,,,
3,,LJ75962 CEFN HAFOD LOM 03:30 18/07/17,LJ75962 CEFN HAFOD LOM 03:30 18/07/17,,,,,,,
4,,LH76895 LLYFARDDU 9/7/17,LH76895 LLYFARDDU 9/7/17,,,,,,,
5,,LJ75954 15/7/17,LJ75954 15/7/17,,,,,,,
6,,LH76607 CEFN HAFOD LOM 04:20 18/7/17,LH76607 CEFN HAFOD LOM 04:20 18/7/17,,,,,,,
