nest_ID,male_id,male_age,female_id,female_age,Site,NGR,Ref,find.date,fledge.date,year,obs.period,expo,outcome,outcome.1,clutch,chicks,fledged,brood,comments,Nest.found,x,y,altitude,Notes,Predated,distance_to_nearest_track,track50,track100,track150,track200,density_of_tracks,Ycons,tandc,exp,nest_age_atLoc,julian.day.find,julian.day.nest.initiation,julian.day.1,age.day.1,jdayinit,month,week
1,RH17930,,CF49201,,Brechfa,SN479324,,06/06/2013,,2013,,0,f,0,2,0,0,1,1st brood,yes,247900,232400,319,,,35,1,1,1,1,,0,0,NA,2,157,155,151,-4,155,6,22
2,LC03055,,,,Brechfa,SN498327,,25/06/2013,,2013,,30,s,1,2,2,2,1,1st brood,yes,249800,232700,303.6,,0,93,0,1,1,1,,0,0,30,10,176,166,151,-15,166,6,24
3,LC03056,,CF49202,,Brechfa,SN490332,,12/07/2013,,2013,,25,s,1,1,1,1,2,2nd brood,yes,249000,233200,326.9,,,56,0,1,1,1,,0,0,25,5,193,188,151,-37,188,7,27
4,RH17928,,CF49205,,Brechfa,SN501325,,14/07/2013,,2013,,29,s,1,2,2,2,2,2nd brood,yes,250100,232500,295.5,,0,10,1,1,1,1,,0,0,29,4,195,191,151,-40,191,7,27
5,RH17930,,CF49201,,Brechfa,SN468323,,14/07/2013,,2013,,19,s,1,2,2,2,2,2nd brood,yes,246800,232300,287,,0,96,0,1,1,1,,0,0,19,4,195,191,151,-40,191,7,27
6,RH17937,,CF49207,,Brechfa,SN496329,,14/07/2013,,2013,,2,s,1,2,1,1,2,2nd brood,yes,249600,232900,311.7,,,185,0,0,0,1,,0,0,2,22,195,173,151,-22,173,6,25
7,RH17937,,CF49207,,Brechfa,SN492328,,16/07/2013,,2013,,14,f,0,2,0,0,2,2nd brood,yes,249200,232800,322.3,,,23,1,1,1,1,,0,0,14,17,197,180,151,-29,180,6,26
8,RH17933,,LC03058,,Brechfa,SN496321,,16/07/2013,,2013,,0,f,0,2,0,0,2,2nd brood,yes,249600,232100,304.6,,,218,0,0,0,0,,0,0,NA,17,197,180,151,-29,180,6,26
9,RH17933,,LC03058,,Brechfa,SN496320,,16/07/2013,,2013,,6,s,1,2,2,2,NA,,yes,249600,232000,311.3,,0,200,0,0,0,0,,0,0,6,30,197,167,151,-16,167,6,24
10,RH17929,,,,Brechfa,SN479337,,22/07/2013,,2013,,8,f,0,2,0,0,NA,,yes,247900,233700,346.6,,,46,1,1,1,1,,0,0,8,8,203,195,151,-44,195,7,28
11,RH17929,,CF49209,,Brechfa,SN484338,,26/07/2013,,2013,,10,f,0,2,1,0,2,2nd brood,yes,248400,233800,335,,,16,1,1,1,1,,0,0,10,7,207,200,151,-49,200,7,29
12,,,,,PyC,SS8973599322,T58,18/06/2014,,2014,,0,f,0,1,0,0,1,1st brood,yes,289735,199322,515.6,,0,85,0,1,1,1,,1,1,NA,2,169,167,151,-16,167,6,24
13,,,LH76546,,PyC,SN9078801854,T39,18/06/2014,,2014,,27,s,1,2,2,2,1,1st brood,yes,290788,201854,518.9,,0,20,1,1,1,1,,1,1,27,2,169,167,151,-16,167,6,24
14,,,,,PyC,SN9307702052,T75,09/07/2014,,2014,,6,s,1,2,2,2,NA,,yes,293077,202052,491.9,,0,233,0,0,0,0,,1,0,6,19,190,171,151,-20,171,6,24
15,,,LH76547,,PyC,SN9350302240,T71,15/07/2014,,2014,,0,s,1,1,1,1,2,2nd brood,yes,293503,202240,474.2,,0,56,0,1,1,1,,1,1,NA,2,196,194,151,-43,194,7,28
16,,,LC03058,,Brechfa,,8,09/07/2014,,2014,23.5,29,s,1,2,1,1,1,The Nose Jacobs - territory 1,yes,249525,231950,315.2,,,103,0,0,1,1,,0,0,29,23,190,167,151,-16,167,6,24
17,LH76540,4,,,Brechfa,,9,18/07/2014,,2014,n/a,4,s,1,2,2,2,1,Top Clearing terr 7  1st brood,yes,249068,234753,364.3,,0,166,0,0,0,1,,0,0,4,30,199,169,151,-18,169,6,24
18,,,,,Brechfa,,10,19/07/2014,,2014,n/a,0,s,1,2,2,2,2,Top Clearing terr 6 2nd brood,yes,249260,235120,360,,,261,0,0,0,0,,0,0,NA,36,200,164,151,-13,164,6,23
19,,,,,Brechfa,,1,22/06/2014,,2014,n/a,0,f,0,2,2,0,1,Crossroads - terr 5 1st brood,yes,249109,232967,327.7,,1,77,0,1,1,1,,0,0,NA,17,173,156,151,-5,156,6,22
20,,,LH76571,,Brechfa,,2,20/06/2014,,2014,16,13,s,1,1,1,1,1,Halfway - jacobs territory 2 1st brood,yes,249603,232793,312.9,,,148,0,0,1,1,,0,0,13,19,171,152,151,-1,152,6,22
21,,,,,Brechfa,,3,02/07/2014,,2014,18,14,f,0,2,2,0,2,Halfway - territory 2 2nd brood,yes,249600,232858,312.6,,1,210,0,0,0,0,,0,0,14,4,183,179,151,-28,179,6,26
22,,,,,Brechfa,,11,27/07/2014,,2014,20.5,17,f,0,2,2,0,2,Halfway - terr 2 3rd brood,yes,249570.9,232779.4,314,,0,128,0,0,1,1,,0,0,17,1,208,207,151,-56,207,7,30
23,LC03055,6,LH76577,4,Brechfa,,4,30/06/2014,,2014,6.5,11,s,1,2,2,2,1,Main Clearing terr 3 1st brood,yes,250081,232682,310.1,,0,35,1,1,1,1,,0,0,11,29,181,152,151,-1,152,6,22
24,LC03055,6,LH76577,4,Brechfa,,5,06/07/2014,,2014,26.5,21,s,1,2,1,0,2,Main Clearing terr 3 2nd brood,yes,249866,232832,303,,1,99,0,1,1,1,,0,0,21,2,187,185,151,-34,185,7,26
25,,,LH76571,5,Brechfa,,7,09/07/2014,,2014,17.5,21,s,1,2,1,1,1,Wind Turbines terr 10 ,yes,247205,231417,300.2,,0,8,1,1,1,1,,0,0,21,20,190,170,151,-19,170,6,24
26,,,,,Brechfa,,6,06/07/2014,,2014,,0,f,0,2,2,0,1,The Mast terr 11,yes,248586.5,230990,316.1,,1,216,0,0,0,0,,0,0,NA,19,187,168,151,-17,168,6,24
27,LH76543,,LE43224,,Clocaenog,SJ0097154387,Carnedd Ci ,27/06/2015,,2015,,8,s,1,2,2,2,1,1st brood,yes,300971,354387,449,,0,111,0,0,1,1,,0,0,8,28,178,150,151,1,150,5,21
28,,,LE43224,,Clocaenog,SJ0094554355,Carnedd Ci ,05/07/2015,,2015,,39,f,0,2,0,0,2,2nd brood,yes,300945,354355,451.2,,,135,0,0,1,1,,0,0,39,2,186,184,151,-33,184,7,26
29,LE43215,,LH76722,,Clocaenog,SJ0140153306,Main valley,08/07/2015,,2015,,11,s,1,2,2,2,1,1st brood,yes,301401,353306,403.7,,0,23,1,1,1,1,,0,0,11,32,189,157,151,-6,157,6,22
30,,,LH76722 ,,Clocaenog,SJ0107952919,Low valley,14/07/2015,,2015,,0,f,0,1,0,0,2,2nd brood,yes,301079,352919,412.4,,,199,0,0,0,1,,0,0,NA,2,195,193,151,-42,193,7,28
