event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp,day,month,year,hour,min
260308929,TRUE,00:00.0,14.32837298,45.88914187,aa,capture,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,447890.6391,5081949.805,33N,Central European Summer Time,00:00.0,24,4,1994,0,0
260308930,TRUE,40:00.0,14.37174524,45.87071802,ia,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451239.634,5079875.428,33N,Central European Summer Time,40:00.0,24,4,1994,18,40
260308931,TRUE,45:00.0,14.39851721,45.8665881,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453314.0114,5079400.57,33N,Central European Summer Time,45:00.0,25,4,1994,16,45
260308932,TRUE,30:00.0,14.41214825,45.88694919,nm,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454388.6889,5081654.894,33N,Central European Summer Time,30:00.0,26,4,1994,14,30
260308933,TRUE,00:00.0,14.41259884,45.87475943,ia,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454413.6814,5080300.3,33N,Central European Summer Time,00:00.0,28,4,1994,14,0
260308934,TRUE,30:00.0,14.40471176,45.88956506,ia,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453813.8614,5081949.805,33N,Central European Summer Time,30:00.0,29,4,1994,11,30
260308935,TRUE,30:00.0,14.41150929,45.88645102,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454338.7039,5081599.91,33N,Central European Summer Time,30:00.0,1,5,1994,13,30
260308936,TRUE,00:00.0,14.51405444,45.83632009,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,462261.3261,5075976.598,33N,Central European Summer Time,00:00.0,7,5,1994,19,0
260308937,TRUE,00:00.0,14.37628088,45.86826846,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451589.529,5079600.51,33N,Central European Summer Time,00:00.0,12,5,1994,14,0
260308938,TRUE,00:00.0,14.39087089,45.85912435,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,452714.1914,5078575.818,33N,Central European Summer Time,00:00.0,13,5,1994,21,0
260308939,TRUE,00:00.0,14.30079975,45.90449773,ia,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,445766.2766,5083674.288,33N,Central European Summer Time,00:00.0,16,5,1994,15,0
260308940,TRUE,00:00.0,14.28176475,45.93137306,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,444316.7117,5086673.387,33N,Central European Summer Time,00:00.0,18,5,1994,11,0
