Country,County,Master site,Site,Date,Time,Common name,Count,Qualifier,Accuracy,Visibility,Rain,Wind,Comments,Checked,day,month,year
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 1,18-Jun-14,13:50-15:40,Common Guillemot,0,Individuals on land,Accurate,good,None,0,,,18,6,2014
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 1,14-Jun-16,13:20-13:30,Common Guillemot,0,Individuals on land,Accurate,good,discontinuous light,1,,,14,6,2016
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 2,15-Jun-10,13:40-16:10,Common Guillemot,0,Individuals on land,Accurate,good,None,2,,,15,6,2010
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 2,06-Jun-13,10:30-15:30,Common Guillemot,0,Individuals on land,Accurate,good,None,0,,,6,6,2013
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 2,18-Jun-14,13:50-15:40,Common Guillemot,0,Individuals on land,Accurate,good,None,0,,,18,6,2014
Wales,Gwynedd,Lleyn Peninsula,Trwyn Yr Wylfa 2,14-Jun-16,13:30-13:40,Common Guillemot,0,Individuals on land,Accurate,good,discontinuous light,1,,,14,6,2016
Wales,Gwynedd,Porth Llanlleiana to Porth Eilian,Middle Mouse,07-Jun-86,,Common Guillemot,586,Individuals on land,Ac+min+max,,,,,,7,6,1986
Wales,Gwynedd,Porth Llanlleiana to Porth Eilian,Middle Mouse,1987,,Common Guillemot,630,Individuals on land,Accurate,,,,JA,,9,6,1987
Wales,Gwynedd,Porth Llanlleiana to Porth Eilian,Middle Mouse,03-Jun-02,11:10 - 12:20,Common Guillemot,2464,Individuals on land,Accurate,good,None,4,,,3,6,2002
Wales,Gwynedd,Porth Llanlleiana to Porth Eilian,Middle Mouse,09-Jun-16,16:50-17:10,Common Guillemot,5550,Individuals on land,Estimate,good,None,0,,,9,6,2016
Wales,Gwynedd,Puffin Island SPA,Puffin Island,1986,,Common Guillemot,872,Individuals on land,Estimate,,,,JA,,8,6,1986
Wales,Gwynedd,Puffin Island SPA,Puffin Island,03-Jul-90,14:10-14:20,Common Guillemot,460,Individuals on land,Estimate,good,None,2,,,3,7,1990
Wales,Gwynedd,Puffin Island SPA,Puffin Island,21-Jun-97,10:30-12:00,Common Guillemot,1559,Individuals on land,Estimate,,None,4,,,21,6,1997
Wales,Gwynedd,Puffin Island SPA,Puffin Island,26-Jun-99,10:00-13:00,Common Guillemot,1652,Individuals on land,Estimate,good,None,,,,26,6,1999
Wales,Gwynedd,Puffin Island SPA,Puffin Island,24-Jun-00,00:00,Common Guillemot,1821,Individuals on land,Estimate,,None,,,,24,6,2000
Wales,Gwynedd,Puffin Island SPA,Puffin Island,23-Jun-01,10:30 - 12:00,Common Guillemot,2799,Individuals on land,Accurate,good,None,3,,,23,6,2001
Wales,Gwynedd,Puffin Island SPA,Puffin Island,26-Jun-02,09:45-13:45,Common Guillemot,2106,Individuals on land,Estimate,good,None,2,,,26,6,2002
Wales,Gwynedd,Puffin Island SPA,Puffin Island,01-Jul-03,10:30-12:30,Common Guillemot,2599,Individuals on land,Estimate,good,None,1,,,1,7,2003
Wales,Gwynedd,Puffin Island SPA,Puffin Island,22-Jun-04,10:40-13:15,Common Guillemot,2208,Individuals on land,Estimate,good,None,1,,,22,6,2004
Wales,Gwynedd,Puffin Island SPA,Puffin Island,08-Jun-05,09:30-12:15,Common Guillemot,3323,Individuals on land,Estimate,good,None,1,,,8,6,2005
Wales,Gwynedd,Puffin Island SPA,Puffin Island,28-Jun-06,09:50-12:55,Common Guillemot,2325,Individuals on land,Estimate,good,None,1,,,28,6,2006
Wales,Gwynedd,Puffin Island SPA,Puffin Island,22-Jun-07,10:05-12:35,Common Guillemot,1979,Individuals on land,Estimate,good,None,2,,,22,6,2007
Wales,Gwynedd,Puffin Island SPA,Puffin Island,02-Jun-09,09:50-11:55,Common Guillemot,3533,Individuals on land,Estimate,good,None,2,,,2,6,2009
Wales,Gwynedd,Puffin Island SPA,Puffin Island,07-Jun-10,09:30-11:45,Common Guillemot,2249,Individuals on land,Estimate,good,None,1,,,7,6,2010
Wales,Gwynedd,Puffin Island SPA,Puffin Island,20-Jun-11,09:50-12:45,Common Guillemot,3072,Individuals on land,Estimate,good,None,3,,,20,6,2011
Wales,Gwynedd,Puffin Island SPA,Puffin Island,27-Jun-13,09:20-12:15,Common Guillemot,3086,Individuals on land,Estimate,poor,continuous light,4,,,27,6,2013
Wales,Gwynedd,Puffin Island SPA,Puffin Island,12-Jun-14,09:30-12:15,Common Guillemot,3295,Individuals on land,Estimate,good,None,2,,,12,6,2014
Wales,Gwynedd,Puffin Island SPA,Puffin Island,14-Jun-15,09:30-12:45,Common Guillemot,3627,Individuals on land,Estimate,good,None,1,,,14,6,2015
